=== MAIN PIPELINE BACKTEST — SUMMARY (qwen2.5:7b) ===
llm_note,all HOLD
final_note,all HOLD
risk_initial_portfolio_thb,1500.0
risk_final_portfolio_thb,1500.0
risk_total_return_pct,0.0
risk_annualized_return_pct,0.0
risk_annualized_volatility_pct,0.0
risk_mdd_pct,0.0
risk_mdd_peak_timestamp,2026-03-27 00:00:00
risk_mdd_trough_timestamp,2026-03-27 00:00:00
risk_sharpe_ratio,0.0
risk_sortino_ratio,-38.884
risk_candles_total,7
risk_periods_per_year,1512
risk_risk_free_rate_pct,2.0

=== DETAILED SIGNAL LOG ===
timestamp,close_thai,portfolio_total_value,portfolio_cash,portfolio_gold_grams,actual_direction,price_change,net_pnl_thb,news_sentiment,llm_signal,llm_confidence,llm_rationale,llm_correct,llm_profitable,final_signal,final_confidence,final_correct,final_profitable,rejection_reason,position_size_thb,stop_loss,take_profit,iterations_used,from_cache
2026-03-27 00:00:00,68324.13,1500.0,1500.0,0.0,UP,35.05999999999767,2.0599999999976717,-0.251,HOLD,0.5,,False,False,HOLD,0.0,False,False,,0.0,,,1,False
2026-03-27 04:00:00,68359.19,1500.0,1500.0,0.0,UP,719.8600000000006,686.8600000000006,-0.1246,HOLD,0.5,,False,False,HOLD,0.0,False,False,,0.0,,,1,False
2026-03-27 08:00:00,69079.05,1500.0,1500.0,0.0,DOWN,-246.1999999999971,-279.1999999999971,-0.9594,HOLD,0.5,,False,False,HOLD,0.0,False,False,,0.0,,,1,False
2026-03-27 12:00:00,68832.85,1500.0,1500.0,0.0,UP,280.3600000000006,247.36000000000058,0.3521,HOLD,0.5,"The market is currently neutral with the RSI at 50 and no significant trend present as indicated by EMA20 and EMA50 being equal. Given that there are no open positions, the current news does not provi",False,False,HOLD,0.5,False,False,,0.0,,,1,False
2026-03-27 16:00:00,69113.21,1500.0,1500.0,0.0,UP,1183.0699999999924,1150.0699999999924,-0.6486,HOLD,0.7,"Given the neutral RSI and MACD readings, along with a neutral trend indicated by EMA20 and EMA50, there is no strong signal to enter a trade. The market appears to be in a consolidation phase. With th",False,False,HOLD,0.7,False,False,,0.0,,,1,False
2026-03-27 20:00:00,70296.28,1500.0,1500.0,0.0,DOWN,-306.9799999999959,-339.9799999999959,-0.0177,HOLD,0.5,,False,False,HOLD,0.0,False,False,,0.0,,,1,False
2026-03-28 00:00:00,69989.3,1500.0,1500.0,0.0,FLAT,,,-0.2436,HOLD,0.7,The market conditions suggest a neutral stance with the RSI at 50 and no significant MACD or trend signals indicating strong bullish or bearish movements. Given that there is currently no gold in the ,True,False,HOLD,0.7,True,False,,0.0,,,1,False
