=== MAIN PIPELINE BACKTEST — SUMMARY ===
llm_directional_accuracy_pct,38.1
llm_signal_sensitivity_pct,84.0
llm_total_signals,21
llm_buy_signals,16
llm_sell_signals,5
llm_correct_signals,8
llm_correct_profitable,5
llm_avg_net_pnl_thb,50.6
llm_rejected_by_risk,0
llm_avg_confidence,0.843
final_directional_accuracy_pct,38.1
final_signal_sensitivity_pct,84.0
final_total_signals,21
final_buy_signals,16
final_sell_signals,5
final_correct_signals,8
final_correct_profitable,5
final_avg_net_pnl_thb,50.6
final_rejected_by_risk,0
final_avg_confidence,0.843

=== DETAILED SIGNAL LOG ===
timestamp,close_thai,actual_direction,price_change,net_pnl_thb,news_sentiment,llm_signal,llm_confidence,llm_rationale,llm_correct,llm_profitable,final_signal,final_confidence,final_correct,final_profitable,rejection_reason,position_size_thb,stop_loss,take_profit,iterations_used,from_cache
2026-03-27 03:00:00,68324.13,DOWN,-107.34000000001106,-140.34000000001106,-0.1246,HOLD,0.5,"The current market state shows a neutral RSI and MACD indicator, with the EMA20 and EMA50 overlapping at the same level of 68324.13. Given that there are no clear signals to buy or sell, a HOLD positi",False,False,HOLD,0.5,False,False,,0.0,,,1,True
2026-03-27 04:00:00,68216.79,UP,592.570000000007,559.570000000007,-0.1246,HOLD,0.5,"The market is in a downtrend with the EMA20 and EMA50 both at 68,313.91 USD/oz. The RSI value is not available but typically indicates neutral conditions. MACD values are -8.5627/-1.7125 with history ",False,False,HOLD,0.5,False,False,,0.0,,,1,True
2026-03-27 05:00:00,68809.36,DOWN,-102.69000000000233,-135.69000000000233,-0.9594,BUY,0.85,"The uptrend is confirmed by the EMA20 and EMA50 indicators, both of which are moving upwards. The RSI remains in the neutral zone but has been trending slightly upward. Given these conditions, it appe",False,False,BUY,0.85,False,False,,0.0,,,1,True
2026-03-27 06:00:00,68706.67,DOWN,-347.4799999999959,-380.4799999999959,-0.9594,BUY,0.85,"The uptrend in the EMA20 (68394.01) is strong and currently above the EMA50 (68353.53). The RSI remains neutral but is above its baseline, indicating some bullish momentum. With a current cost basis o",False,False,BUY,0.85,False,False,,0.0,68340,68400,1,True
2026-03-27 07:00:00,68359.19,UP,442.8399999999965,409.8399999999965,-0.9594,BUY,0.85,"The current market trend is bullish as indicated by the uptrend on EMA20 and EMA50 lines, with RSI in a neutral zone. The MACD histogram has been positive recently, suggesting potential upward momentu",True,True,BUY,0.85,True,True,,0.0,68349,68421,1,True
2026-03-27 08:00:00,68802.03,UP,106.94000000000233,73.94000000000233,-0.9594,SELL,0.85,The uptrend in the Gold market is strong with both EMA indicators showing an upward trajectory. The RSI remains neutral but could indicate a potential pullback before further gains. With news that ind,False,False,SELL,0.85,False,False,,0.0,67900,69200,1,True
2026-03-27 09:00:00,68908.97,UP,5.240000000005239,-27.75999999999476,-0.9594,BUY,0.85,"The market is in an uptrend with both the EMA20 and EMA50 lines above each other, indicating strong buying pressure. The RSI is at neutral levels (around 46), suggesting that a pullback may occur but ",True,False,BUY,0.85,True,False,,0.0,68359.19,70000,1,True
2026-03-27 10:00:00,68914.21,UP,164.8399999999965,131.8399999999965,-0.9594,SELL,0.85,"The gold price has been in an uptrend but is approaching support at the EMA50 level of 68412.88 USD/oz. Additionally, the RSI indicator is near oversold levels and could potentially turn lower if curr",False,False,SELL,0.85,False,False,,0.0,67000,69500,1,True
2026-03-27 11:00:00,69079.05,UP,167.67999999999302,134.67999999999302,-0.9594,SELL,0.85,"The uptrend is weakening as indicated by the MACD histogram moving below zero, suggesting a potential reversal. The RSI remains neutral but could indicate caution given its level above 50. With no gol",False,False,SELL,0.85,False,False,,0.0,68200.0,68500.0,1,True
2026-03-27 12:00:00,69246.73,UP,172.61000000000058,139.61000000000058,0.3521,BUY,0.85,"The current price is slightly above the EMA20 and in an uptrend, with RSI neutral indicating consolidation. The MACD histogram has been positive for several days, suggesting ongoing bullish pressure. ",True,True,BUY,0.85,True,True,,0.0,68470,69000,1,True
2026-03-27 13:00:00,69419.34,DOWN,-143.26999999998952,-176.26999999998952,0.3521,BUY,0.85,"The uptrend in the Gold market continues with both EMA20 and EMA50 showing an upward trajectory, pointing towards further gains. The RSI is at neutral levels but not indicating oversold or overbought ",False,False,BUY,0.85,False,False,,0.0,,,1,True
2026-03-27 14:00:00,69276.07,DOWN,-443.22000000000116,-476.22000000000116,-0.1457,BUY,0.85,"The uptrend in the Gold price continues with strong momentum indicated by the EMA20 above the EMA50 and positive MACD hist values. RSI is near neutral, suggesting that a bullish continuation of the cu",False,False,BUY,0.85,False,False,,0.0,,,1,True
2026-03-27 15:00:00,68832.85,UP,86.93999999998778,53.939999999987776,-0.6411,BUY,0.85,"The gold price is in an uptrend with the EMA20 above EMA50 at $68,770.35. The RSI remains neutral but has been trending upwards. MACD histogram is positive and close to zero indicating a potential cro",True,True,BUY,0.85,True,True,,0.0,68200,70300,1,True
2026-03-27 16:00:00,68919.79,DOWN,-148.05999999999767,-181.05999999999767,-0.6486,BUY,0.85,"The Gold price is currently at a neutral level according to the RSI (14) indicator, and the trend remains positive with EMA20 above EMA50. The MACD histogram has been positive recently, indicating bul",False,False,BUY,0.85,False,False,,0.0,,,1,True
2026-03-27 17:00:00,68771.73,UP,24.669999999998254,-8.330000000001746,-0.2054,BUY,0.85,"The RSI is in the overbought zone (above 50), and the MACD histogram has been positive, indicating a potential pullback could be near. The uptrend remains strong with EMA20 above EMA50. With the portf",True,False,BUY,0.85,True,False,,0.0,68493.35,69273.35,1,True
2026-03-27 18:00:00,68796.4,UP,316.8100000000122,283.8100000000122,-0.2398,HOLD,0.5,,False,False,HOLD,0.0,False,False,,0.0,,,1,True
2026-03-27 19:00:00,69113.21,DOWN,-153.75,-186.75,-0.2957,BUY,0.75,"The EMA20 has crossed above the EMA50, indicating an uptrend. RSI is at a neutral level of 55.68 but still in the overbought zone where it could provide support rather than resistance. Given the curre",False,False,BUY,0.75,False,False,,0.0,68300,69000,1,True
2026-03-27 20:00:00,68959.46,UP,982.8999999999942,949.8999999999942,-0.0177,SELL,0.85,"The RSI is in the neutral zone, but the uptrend continues with EMA20 above EMA50. The MACD histogram has turned negative indicating a potential sell-off. Given the current portfolio constraints and th",False,False,SELL,0.85,False,False,,0.0,68500,70000,1,True
2026-03-27 21:00:00,69942.36,UP,310.3999999999942,277.3999999999942,-0.5565,BUY,0.85,"The RSI is currently at an overbought level of 73.56, which typically signals a need for consolidation or potential reversal. The MACD histogram shows strong positive divergence, indicating that the g",True,True,BUY,0.85,True,True,,0.0,68300,71200,1,True
2026-03-27 22:00:00,70252.76,UP,43.520000000004075,10.520000000004075,0.1984,BUY,0.85,"The Gold (THB/gram) price is at a buy level with RSI above 70 and in overbought territory, suggesting a potential bounce from current levels. The trend remains up with both EMA20 and EMA50 pointing up",True,True,BUY,0.85,True,True,,0.0,"฿69,500.00","฿71,000.00",1,True
2026-03-27 23:00:00,70296.28,DOWN,-417.429999999993,-450.429999999993,-0.3725,SELL,0.95,"The RSI is at an overbought level of 71.92, and the MACD histogram has been positive for some time indicating a potential trend reversal. Given the current downtrend indicated by EMA50 below EMA20 and",True,False,SELL,0.95,True,False,,0.0,,,1,True
2026-03-28 00:00:00,69878.85,UP,454.84999999999127,421.84999999999127,-0.2436,HOLD,0.5,"The market is currently in an uptrend as indicated by the positive MACD histogram and both EMA20 and EMA50 above the current price. The RSI remains neutral at 63.49, suggesting no strong momentum eith",False,False,HOLD,0.5,False,False,,0.0,,,1,True
2026-03-28 01:00:00,70333.7,DOWN,-74.44999999999709,-107.44999999999709,-0.2436,BUY,0.75,"The RSI is currently at 66.23, which is in the neutral territory and suggests that there might be potential for an uptrend. The MACD histogram has moved above zero, indicating a bullish signal. Additi",False,False,BUY,0.75,False,False,,0.0,68500,72000,1,True
2026-03-28 02:00:00,70259.25,DOWN,-269.9499999999971,-302.9499999999971,-0.2436,BUY,0.85,"The EMA trend is currently in an uptrend, with the RSI at neutral levels (around 63). The recent price action has been bullish with increasing highs and lows. Given the current support level at the st",False,False,BUY,0.85,False,False,,0.0,69000,70200,1,True
2026-03-28 03:00:00,69989.3,FLAT,,,-0.6664,BUY,0.8,"The Gold market is currently in an uptrend as indicated by the EMA20(69488.4) being above the EMA50(68987.42). The RSI at 57.36 suggests neutral conditions, but given the strong upward momentum and re",False,False,BUY,0.8,False,False,,0.0,,,1,True
