=== MAIN PIPELINE BACKTEST — SUMMARY ===
llm_directional_accuracy_pct,25.0
llm_signal_sensitivity_pct,57.14
llm_total_signals,4
llm_buy_signals,2
llm_sell_signals,2
llm_correct_signals,1
llm_correct_profitable,1
llm_avg_net_pnl_thb,6.67
llm_rejected_by_risk,0
llm_avg_confidence,0.85
final_directional_accuracy_pct,25.0
final_signal_sensitivity_pct,57.14
final_total_signals,4
final_buy_signals,2
final_sell_signals,2
final_correct_signals,1
final_correct_profitable,1
final_avg_net_pnl_thb,6.67
final_rejected_by_risk,0
final_avg_confidence,0.85

=== DETAILED SIGNAL LOG ===
timestamp,close_thai,actual_direction,price_change,net_pnl_thb,news_sentiment,llm_signal,llm_confidence,llm_rationale,llm_correct,llm_profitable,final_signal,final_confidence,final_correct,final_profitable,rejection_reason,position_size_thb,stop_loss,take_profit,iterations_used,from_cache
2026-03-27 00:00:00,68324.13,DOWN,-107.34000000001106,-140.34000000001106,-0.251,HOLD,0.5,The market is currently in a neutral state with no clear direction indicated by the EMA20 and EMA50 being at the same level (neutral). The RSI indicator is also not providing any strong signals. Given,False,False,HOLD,0.5,False,False,,0.0,,,1,False
2026-03-27 04:00:00,68216.79,UP,585.2400000000052,552.2400000000052,-0.1246,HOLD,0.5,"The market is in a downtrend with the EMA20 and EMA50 both at 68,313.91 USD/oz. The RSI value is not available but typically indicates neutral conditions. MACD values are -8.5627/-1.7125 with history ",False,False,HOLD,0.5,False,False,,0.0,,,1,True
2026-03-27 08:00:00,68802.03,UP,444.6999999999971,411.6999999999971,-0.9594,SELL,0.85,The uptrend in the Gold market is strong with both EMA indicators showing an upward trajectory. The RSI remains neutral but could indicate a potential pullback before further gains. With news that ind,False,False,SELL,0.85,False,False,,0.0,67900.0,69200.0,1,True
2026-03-27 12:00:00,69246.73,DOWN,-326.9400000000023,-359.9400000000023,0.3521,BUY,0.85,"The current price is slightly above the EMA20 and in an uptrend, with RSI neutral indicating consolidation. The MACD histogram has been positive for several days, suggesting ongoing bullish pressure. ",False,False,BUY,0.85,False,False,,0.0,68470.0,69000.0,1,True
2026-03-27 16:00:00,68919.79,UP,39.670000000012806,6.670000000012806,-0.6486,BUY,0.85,"The Gold price is currently at a neutral level according to the RSI (14) indicator, and the trend remains positive with EMA20 above EMA50. The MACD histogram has been positive recently, indicating bul",True,True,BUY,0.85,True,True,,0.0,,,1,True
2026-03-27 20:00:00,68959.46,UP,919.3899999999994,886.3899999999994,-0.0177,SELL,0.85,"The RSI is in the neutral zone, but the uptrend continues with EMA20 above EMA50. The MACD histogram has turned negative indicating a potential sell-off. Given the current portfolio constraints and th",False,False,SELL,0.85,False,False,,0.0,68500.0,70000.0,1,True
2026-03-28 00:00:00,69878.85,FLAT,,,-0.2436,HOLD,0.5,"The market is currently in an uptrend as indicated by the positive MACD histogram and both EMA20 and EMA50 above the current price. The RSI remains neutral at 63.49, suggesting no strong momentum eith",True,False,HOLD,0.5,True,False,,0.0,,,1,True
